'name','density','N','load','complete','high cardinality','low cardinality'
'Bloofi',1,100,1.2,1.0,0.8,0.2
'Bloofi',1,1000,5.4,2.0,6.2,4.2
'Bloofi',1,10000,9.8,28.0,66.0,61.2
'Bloofi',1,100000,122.8,360.0,1161.8,1175.0
'Bloofi',1,1000000,1453.0,6300.8,14777.8,17341.4
'Bloofi',2,100,0.0,0.4,1.6,1.0
'Bloofi',2,1000,0.8,6.2,13.2,10.4
'Bloofi',2,10000,9.0,68.4,124.2,126.8
'Bloofi',2,100000,118.2,1380.8,2358.2,2425.2
'Bloofi',2,1000000,1445.6,17089.2,26517.8,27640.2
'Bloofi',3,100,0.2,1.0,1.8,0.8
'Bloofi',3,1000,0.8,14.0,18.2,14.2
'Bloofi',3,10000,9.0,119.2,166.0,166.0
'Bloofi',3,100000,123.8,2428.8,3233.6,3202.4
'Bloofi',3,1000000,1459.2,24738.0,32264.6,32717.2
'Bloofi',4,100,0.2,1.6,2.0,1.2
'Bloofi',4,1000,0.8,19.0,20.4,16.6
'Bloofi',4,10000,9.4,162.4,196.6,199.6
'Bloofi',4,100000,117.8,2807.2,3299.0,3321.0
'Bloofi',4,1000000,1458.8,31324.4,36386.0,36782.2
'Bloofi',5,100,0.0,1.4,2.0,1.0
'Bloofi',5,1000,0.4,19.6,19.8,16.2
'Bloofi',5,10000,9.8,191.0,209.0,210.6
'Bloofi',5,100000,122.6,3103.0,3404.2,3375.0
'Bloofi',5,1000000,1501.4,36101.4,39669.0,39932.8
'Bloofi',6,100,0.2,1.6,2.0,1.2
'Bloofi',6,1000,0.6,20.2,19.4,16.4
'Bloofi',6,10000,11.6,214.8,225.4,213.2
'Bloofi',6,100000,121.2,3622.2,3767.8,3752.2
'Bloofi',6,1000000,1458.0,38616.2,40768.4,41012.2
'Bloofi',7,100,0.2,1.6,1.8,1.2
'Bloofi',7,1000,0.8,20.0,18.2,15.6
'Bloofi',7,10000,9.4,216.6,207.2,204.0
'Bloofi',7,100000,121.0,3625.0,3674.8,3623.0
'Bloofi',7,1000000,1460.4,39945.4,40711.8,40762.2
'Bloofi',8,100,0.2,1.6,1.8,1.2
'Bloofi',8,1000,0.6,19.6,17.4,15.4
'Bloofi',8,10000,9.4,218.0,211.8,198.2
'Bloofi',8,100000,121.2,3756.0,3694.6,3646.2
'Bloofi',8,1000000,1465.2,40723.6,40279.6,40522.0
'Bloofi',9,100,0.2,1.6,1.6,1.2
'Bloofi',9,1000,0.6,18.2,16.4,15.0
'Bloofi',9,10000,9.0,215.4,194.6,193.6
'Bloofi',9,100000,121.6,3757.2,3658.4,3596.4
'Bloofi',9,1000000,1446.6,40469.0,39477.4,39246.0
