'name','density','N','load','complete','high cardinality','low cardinality'
'Hamming',1,100,0.6,6.4,1.2,1.2
'Btree',1,100,2.6,3.2,6.2,5.0
'Bloofi',1,100,1.2,1.0,0.8,0.2
'LimitedBtree',1,100,1.6,1.6,0.8,0.4
'Linear',1,100,0.0,0.4,1.0,0.6
'Hamming',1,1000,1.0,2.8,6.0,4.4
'Btree',1,1000,1.0,2.2,26.2,41.6
'Bloofi',1,1000,5.4,2.0,6.2,4.2
'LimitedBtree',1,1000,0.8,3.6,6.2,6.0
'Linear',1,1000,0.2,3.0,6.0,3.6
'Hamming',1,10000,10.4,15.8,58.2,70.4
'Btree',1,10000,5.8,9.0,205.2,426.2
'Bloofi',1,10000,9.8,28.0,66.0,61.2
'LimitedBtree',1,10000,4.8,35.8,66.2,56.8
'Linear',1,10000,0.0,31.8,51.0,53.2
'Hamming',1,100000,343.8,176.8,697.0,817.0
'Btree',1,100000,63.6,35.2,1176.8,5356.0
'Bloofi',1,100000,122.8,360.0,1161.8,1175.0
'LimitedBtree',1,100000,66.6,348.0,511.2,551.0
'Linear',1,100000,0.8,356.6,512.2,634.4
'Hamming',1,1000000,42870.6,6350.8,22727.2,28662.6
'Btree',1,1000000,1494.2,231.4,7963.6,79275.6
'Bloofi',1,1000000,1453.0,6300.8,14777.8,17341.4
'LimitedBtree',1,1000000,1615.0,5439.0,6846.6,7450.6
'Linear',1,1000000,5.0,5399.0,6721.4,7381.2
'Hamming',2,100,0.0,1.2,1.8,1.0
'Btree',2,100,0.0,1.6,8.8,9.4
'Bloofi',2,100,0.0,0.4,1.6,1.0
'LimitedBtree',2,100,0.0,0.8,1.0,0.4
'Linear',2,100,0.0,0.6,0.8,0.2
'Hamming',2,1000,0.2,5.6,9.6,6.2
'Btree',2,1000,0.6,6.6,67.2,92.0
'Bloofi',2,1000,0.8,6.2,13.2,10.4
'LimitedBtree',2,1000,0.6,5.4,8.4,8.8
'Linear',2,1000,0.0,5.6,9.0,5.4
'Hamming',2,10000,4.4,41.2,81.2,97.4
'Btree',2,10000,5.4,40.8,480.6,908.8
'Bloofi',2,10000,9.0,68.4,124.2,126.8
'LimitedBtree',2,10000,5.6,46.4,76.0,77.8
'Linear',2,10000,0.2,46.2,74.8,78.8
'Hamming',2,100000,330.2,524.8,875.0,1065.8
'Btree',2,100000,64.8,260.0,3929.6,9619.0
'Bloofi',2,100000,118.2,1380.8,2358.2,2425.2
'LimitedBtree',2,100000,67.8,515.6,784.0,852.8
'Linear',2,100000,0.4,478.2,749.0,811.6
'Hamming',2,1000000,40285.8,17191.2,26470.8,31110.8
'Btree',2,1000000,2026.8,1388.2,26003.6,84277.0
'Bloofi',2,1000000,1445.6,17089.2,26517.8,27640.2
'LimitedBtree',2,1000000,1684.0,5790.8,7911.2,8251.0
'Linear',2,1000000,5.4,5741.0,7809.6,8002.6
'Hamming',3,100,0.0,1.4,2.0,0.8
'Btree',3,100,0.0,2.6,13.4,14.6
'Bloofi',3,100,0.2,1.0,1.8,0.8
'LimitedBtree',3,100,0.2,0.4,1.2,0.4
'Linear',3,100,0.0,0.6,1.0,0.4
'Hamming',3,1000,0.2,7.6,12.2,8.0
'Btree',3,1000,0.4,14.4,111.0,146.8
'Bloofi',3,1000,0.8,14.0,18.2,14.2
'LimitedBtree',3,1000,0.6,8.2,10.8,10.0
'Linear',3,1000,0.0,7.8,11.2,6.2
'Hamming',3,10000,4.2,57.8,102.2,117.8
'Btree',3,10000,5.4,104.8,843.0,1240.0
'Bloofi',3,10000,9.0,119.2,166.0,166.0
'LimitedBtree',3,10000,6.2,64.4,94.4,97.2
'Linear',3,10000,0.2,65.6,94.4,98.0
'Hamming',3,100000,323.8,793.8,1371.6,1508.6
'Btree',3,100000,66.6,753.8,7916.4,14459.2
'Bloofi',3,100000,123.8,2428.8,3233.6,3202.4
'LimitedBtree',3,100000,73.6,701.8,969.2,988.2
'Linear',3,100000,0.2,711.0,972.6,1002.6
'Hamming',3,1000000,39152.2,20460.0,29845.0,33998.0
'Btree',3,1000000,1704.8,3947.2,50469.2,94745.0
'Bloofi',3,1000000,1459.2,24738.0,32264.6,32717.2
'LimitedBtree',3,1000000,1337.2,7091.8,9619.8,9782.2
'Linear',3,1000000,5.2,7068.8,9598.0,9688.8
'Hamming',4,100,0.0,1.2,2.0,1.2
'Btree',4,100,0.0,4.0,19.6,19.8
'Bloofi',4,100,0.2,1.6,2.0,1.2
'LimitedBtree',4,100,0.0,1.0,1.4,0.6
'Linear',4,100,0.0,1.0,1.2,0.6
'Hamming',4,1000,0.2,10.0,13.6,9.6
'Btree',4,1000,0.6,28.6,156.4,189.4
