'name','density','N','load','complete','high cardinality','low cardinality'
'Btree',1,100,2.6,3.2,6.2,5.0
'Btree',1,1000,1.0,2.2,26.2,41.6
'Btree',1,10000,5.8,9.0,205.2,426.2
'Btree',1,100000,63.6,35.2,1176.8,5356.0
'Btree',1,1000000,1494.2,231.4,7963.6,79275.6
'Btree',2,100,0.0,1.6,8.8,9.4
'Btree',2,1000,0.6,6.6,67.2,92.0
'Btree',2,10000,5.4,40.8,480.6,908.8
'Btree',2,100000,64.8,260.0,3929.6,9619.0
'Btree',2,1000000,2026.8,1388.2,26003.6,84277.0
'Btree',3,100,0.0,2.6,13.4,14.6
'Btree',3,1000,0.4,14.4,111.0,146.8
'Btree',3,10000,5.4,104.8,843.0,1240.0
'Btree',3,100000,66.6,753.8,7916.4,14459.2
'Btree',3,1000000,1704.8,3947.2,50469.2,94745.0
'Btree',4,100,0.0,4.0,19.6,19.8
'Btree',4,1000,0.6,28.6,156.4,189.4
'Btree',4,10000,7.4,184.2,1145.2,1483.0
'Btree',4,100000,58.4,1276.6,10273.2,17959.0
'Btree',4,1000000,1398.2,7783.0,76774.8,110210.4
'Btree',5,100,0.0,6.4,23.2,22.4
'Btree',5,1000,0.4,42.8,185.8,205.4
'Btree',5,10000,5.2,256.2,1429.8,1685.4
'Btree',5,100000,59.6,1936.4,12570.8,19473.6
'Btree',5,1000000,1411.6,12025.0,97501.8,124331.0
'Btree',6,100,0.2,8.6,25.0,24.6
'Btree',6,1000,0.4,58.0,174.2,195.8
'Btree',6,10000,5.0,341.8,1590.2,1756.8
'Btree',6,100000,65.2,2514.4,14063.6,19557.4
'Btree',6,1000000,1534.8,14759.6,105773.8,126765.4
'Btree',7,100,0.0,9.8,24.2,23.8
'Btree',7,1000,0.6,60.2,157.2,180.6
'Btree',7,10000,5.2,332.4,1461.4,1555.8
'Btree',7,100000,60.4,2894.6,13536.4,17688.8
'Btree',7,1000000,1245.6,17105.0,105369.8,120389.6
'Btree',8,100,0.2,8.4,19.6,18.8
'Btree',8,1000,0.2,46.4,155.0,145.0
'Btree',8,10000,4.6,323.0,1252.2,1274.8
'Btree',8,100000,55.8,2969.8,12797.2,16102.0
'Btree',8,1000000,876.4,19923.4,98823.6,110203.4
'Btree',9,100,0.2,8.0,17.4,16.2
'Btree',9,1000,0.0,47.8,111.0,115.6
'Btree',9,10000,4.4,274.0,942.2,972.4
'Btree',9,100000,53.2,2935.4,11297.4,14211.4
'Btree',9,1000000,749.8,21828.8,86848.4,95069.0
