'name','density','N','load','complete','high cardinality','low cardinality'
'Hamming',1,100,0.6,6.4,1.2,1.2
'Hamming',1,1000,1.0,2.8,6.0,4.4
'Hamming',1,10000,10.4,15.8,58.2,70.4
'Hamming',1,100000,343.8,176.8,697.0,817.0
'Hamming',1,1000000,42870.6,6350.8,22727.2,28662.6
'Hamming',2,100,0.0,1.2,1.8,1.0
'Hamming',2,1000,0.2,5.6,9.6,6.2
'Hamming',2,10000,4.4,41.2,81.2,97.4
'Hamming',2,100000,330.2,524.8,875.0,1065.8
'Hamming',2,1000000,40285.8,17191.2,26470.8,31110.8
'Hamming',3,100,0.0,1.4,2.0,0.8
'Hamming',3,1000,0.2,7.6,12.2,8.0
'Hamming',3,10000,4.2,57.8,102.2,117.8
'Hamming',3,100000,323.8,793.8,1371.6,1508.6
'Hamming',3,1000000,39152.2,20460.0,29845.0,33998.0
'Hamming',4,100,0.0,1.2,2.0,1.2
'Hamming',4,1000,0.2,10.0,13.6,9.6
'Hamming',4,10000,4.2,70.8,115.6,126.8
'Hamming',4,100000,382.6,773.4,1293.6,1459.8
'Hamming',4,1000000,36402.6,23115.0,33024.8,37399.2
'Hamming',5,100,0.0,1.6,2.0,1.2
'Hamming',5,1000,0.4,11.0,13.6,9.6
'Hamming',5,10000,4.2,83.2,124.6,133.8
'Hamming',5,100000,385.6,848.4,1332.4,1410.8
'Hamming',5,1000000,37980.6,26039.0,36218.4,40606.6
'Hamming',6,100,0.0,1.4,1.8,1.6
'Hamming',6,1000,0.2,11.8,12.6,10.2
'Hamming',6,10000,4.2,100.6,128.6,136.6
'Hamming',6,100000,388.4,1176.0,1690.6,1680.4
'Hamming',6,1000000,39444.8,29909.2,40648.2,43124.6
'Hamming',7,100,0.0,0.8,1.4,1.0
'Hamming',7,1000,0.2,11.4,12.4,10.0
'Hamming',7,10000,4.2,99.4,128.0,135.0
'Hamming',7,100000,384.0,1117.8,1486.2,1554.0
'Hamming',7,1000000,38643.4,32681.8,43093.8,45246.4
'Hamming',8,100,0.0,1.4,1.4,1.0
'Hamming',8,1000,0.0,11.0,11.4,9.6
'Hamming',8,10000,4.4,103.0,125.8,131.4
'Hamming',8,100000,370.6,1055.4,1422.8,1478.2
'Hamming',8,1000000,37077.4,35788.2,45704.0,47292.4
'Hamming',9,100,0.0,1.2,1.2,0.8
'Hamming',9,1000,0.4,10.4,11.0,8.8
'Hamming',9,10000,4.2,106.0,124.4,128.0
'Hamming',9,100000,370.2,1156.4,1419.4,1502.0
'Hamming',9,1000000,35270.2,38508.4,47570.0,48931.0
