'name','density','N','load','complete','high cardinality','low cardinality'
'Linear',1,100,0.0,0.4,1.0,0.6
'Linear',1,1000,0.2,3.0,6.0,3.6
'Linear',1,10000,0.0,31.8,51.0,53.2
'Linear',1,100000,0.8,356.6,512.2,634.4
'Linear',1,1000000,5.0,5399.0,6721.4,7381.2
'Linear',2,100,0.0,0.6,0.8,0.2
'Linear',2,1000,0.0,5.6,9.0,5.4
'Linear',2,10000,0.2,46.2,74.8,78.8
'Linear',2,100000,0.4,478.2,749.0,811.6
'Linear',2,1000000,5.4,5741.0,7809.6,8002.6
'Linear',3,100,0.0,0.6,1.0,0.4
'Linear',3,1000,0.0,7.8,11.2,6.2
'Linear',3,10000,0.2,65.6,94.4,98.0
'Linear',3,100000,0.2,711.0,972.6,1002.6
'Linear',3,1000000,5.2,7068.8,9598.0,9688.8
'Linear',4,100,0.0,1.0,1.2,0.6
'Linear',4,1000,0.0,10.0,12.0,7.4
'Linear',4,10000,0.0,85.8,108.0,110.4
'Linear',4,100000,0.4,849.0,1063.4,1064.0
'Linear',4,1000000,5.2,8799.0,10932.0,11104.6
'Linear',5,100,0.0,1.2,1.2,0.6
'Linear',5,1000,0.0,11.6,12.0,8.0
'Linear',5,10000,0.0,103.0,115.2,115.0
'Linear',5,100000,0.4,987.8,1143.0,1112.2
'Linear',5,1000000,5.4,10626.6,11908.0,12059.0
'Linear',6,100,0.0,1.0,1.0,0.6
'Linear',6,1000,0.0,11.6,11.6,8.6
'Linear',6,10000,0.2,114.2,116.4,115.2
'Linear',6,100000,0.4,1119.4,1171.2,1153.8
'Linear',6,1000000,5.4,11464.2,12127.6,12264.4
'Linear',7,100,0.0,1.0,1.2,0.8
'Linear',7,1000,0.0,11.4,11.0,8.6
'Linear',7,10000,0.0,117.8,113.4,112.2
'Linear',7,100000,0.4,1208.6,1199.4,1150.6
'Linear',7,1000000,5.4,12114.6,12139.2,12219.2
'Linear',8,100,0.0,1.2,1.0,1.0
'Linear',8,1000,0.0,11.4,11.0,9.0
'Linear',8,10000,0.0,116.2,108.4,108.0
'Linear',8,100000,0.4,1164.6,1113.4,1096.0
'Linear',8,1000000,5.2,12327.6,11874.0,11910.8
'Linear',9,100,0.0,1.0,1.0,1.0
'Linear',9,1000,0.0,11.0,10.0,9.0
'Linear',9,10000,0.0,113.4,103.6,104.0
'Linear',9,100000,0.4,1152.0,1083.2,1069.4
'Linear',9,1000000,5.6,12132.2,11423.4,11461.4
