'Index Name', 'Run', 'Phase', 'Population', 'Load Elapsed', 'COMPLETE Elapsed', 'COMPLETE Count', 'HIGHCARD Elapsed', 'HIGHCARD Count', 'LOWCARD Elapsed', 'LOWCARD Count'
'Bloofi','Reference', 0,'Query',100,18363179,0.019211774,3,0.005967987,1918,0.005278294,6036
'Bloofi','Reference', 0,'Delete',100,18363179,0.019520812000000002,1,0.012452698000000002,0,0.010428731,0
'Bloofi','Reference', 1,'Query',100,3886427,0.006675026000000001,3,0.00491252,1918,0.005248699,6036
'Bloofi','Reference', 1,'Delete',100,3886427,0.008103265,1,0.012522967000000001,0,0.007676876000000001,0
'Bloofi','Reference', 2,'Query',100,3343931,0.00460759,3,0.005022159,1918,0.00529768,6036
'Bloofi','Reference', 2,'Delete',100,3343931,0.006696802000000001,1,0.012267465,0,0.008481435,0
'Bloofi','Reference', 3,'Query',100,3007361,0.004347015,3,0.005050988,1918,0.004657167,6036
'Bloofi','Reference', 3,'Delete',100,3007361,0.0066239720000000005,1,0.012319073000000002,0,0.008471880000000001,0
'Bloofi','Reference', 4,'Query',100,2567263,0.004375815,3,0.005000864000000001,1918,0.002500513,6036
'Bloofi','Reference', 4,'Delete',100,2567263,0.006652430000000001,1,0.014032799,0,0.005186144,0
'Bloofi','Reference', 0,'Query',1000,13006484,0.01518708,22,0.018051602,22278,0.011454631000000002,59685
'Bloofi','Reference', 0,'Delete',1000,13006484,0.082836032,3,0.071597173,0,0.08780230400000001,0
'Bloofi','Reference', 1,'Query',1000,12389377,0.015054443,22,0.012104074000000001,22278,0.011459744000000001,59685
'Bloofi','Reference', 1,'Delete',1000,12389377,0.033668444,3,0.06630245900000001,0,0.043731599,0
'Bloofi','Reference', 2,'Query',1000,12933921,0.015010283000000001,22,0.011394746,22278,0.011504693,59685
'Bloofi','Reference', 2,'Delete',1000,12933921,0.032413322,3,0.040758469000000005,0,0.04392775,0
'Bloofi','Reference', 3,'Query',1000,8603842,0.014942744,22,0.012272902,22278,0.014016232000000002,59685
'Bloofi','Reference', 3,'Delete',1000,8603842,0.03354572,3,0.041279913,0,0.04403499,0
'Bloofi','Reference', 4,'Query',1000,8339627,0.012913998000000001,22,0.011503880000000001,22278,0.013570416,59685
'Bloofi','Reference', 4,'Delete',1000,8339627,0.032588701000000005,3,0.040160404000000004,0,0.044233331,0
