'Type', 'Population', 'Avg Load Elapsed', 'Avg Complete Elapsed', 'Avg Name Elapsed', 'Avg Feature Elapsed'
'Btree',100,0.8,2.8,15.8,10.2
'Btree',1000,1.0,2.4,62.2,51.8
'Btree',10000,8.0,27.6,495.8,664.4
'Btree',100000,104.8,59.0,2373.0,10293.6
'Btree',1000000,1350.4,499.6,22628.2,75589.0
'Flat Bloofi',100,0.4,2.4,1.2,1.2
'Flat Bloofi',1000,1.0,1.8,0.8,1.0
'Flat Bloofi',10000,2.6,16.8,6.8,7.4
'Flat Bloofi',100000,64.6,164.0,65.0,84.4
'Flat Bloofi',1000000,4987.0,2375.0,1394.8,1567.6
'Linear',100,0.0,3.8,3.4,1.6
'Linear',1000,0.0,15.2,15.2,15.0
'Linear',10000,0.2,146.4,149.8,151.2
'Linear',100000,1.4,1909.6,1922.2,2012.0
'Linear',1000000,15.4,25375.6,25524.4,26257.0
