'Index Name', 'Run', 'Phase', 'Population', 'Load Elapsed', 'COMPLETE Elapsed', 'COMPLETE Count', 'HIGHCARD Elapsed', 'HIGHCARD Count', 'LOWCARD Elapsed', 'LOWCARD Count'
'Array','Reference', 0,'Query',100,35140,0.015289846000000001,3,0.004226178000000001,1918,0.0016143790000000002,6036
'Array','Reference', 0,'Delete',100,35140,0.031130818,1,0.006554922,0,0.012476138000000001,0
'Array','Reference', 1,'Query',100,145710,0.0026040480000000003,3,0.003465936,1918,0.001542334,6036
'Array','Reference', 1,'Delete',100,145710,0.005544481,1,0.006491650000000001,0,0.012816037,0
'Array','Reference', 2,'Query',100,34841,0.0025673220000000004,3,0.0035116110000000004,1918,0.001425129,6036
'Array','Reference', 2,'Delete',100,34841,0.010024347000000001,1,0.006501187,0,0.010424194000000001,0
'Array','Reference', 3,'Query',100,44074,0.0025289820000000004,3,0.0015639310000000002,1918,0.001313685,6036
'Array','Reference', 3,'Delete',100,44074,0.007791771,1,0.006570948,0,0.007668763,0
'Array','Reference', 4,'Query',100,26131,0.0025992740000000004,3,0.0012898570000000002,1918,0.0012703550000000001,6036
'Array','Reference', 4,'Delete',100,26131,0.006541014,1,0.008086291,0,0.007901477,0
'Array','Reference', 0,'Query',1000,173687,0.008230328,22,0.004747230000000001,22278,0.005412617000000001,59685
'Array','Reference', 0,'Delete',1000,173687,0.029969236000000003,3,0.059299425,0,0.011601406,0
'Array','Reference', 1,'Query',1000,162502,0.007652756,22,0.004747974,22278,0.005251993,59685
'Array','Reference', 1,'Delete',1000,162502,0.011940955000000001,3,0.012116759000000001,0,0.012062403000000001,0
'Array','Reference', 2,'Query',1000,159656,0.004537986,22,0.004622706,22278,0.005139399,59685
'Array','Reference', 2,'Delete',1000,159656,0.011954610000000001,3,0.011707150000000001,0,0.011627905000000001,0
'Array','Reference', 3,'Query',1000,169767,0.004371481,22,0.0047320090000000006,22278,0.0067783620000000004,59685
'Array','Reference', 3,'Delete',1000,169767,0.011935218000000001,3,0.011670935,0,0.012499702000000001,0
'Array','Reference', 4,'Query',1000,168923,0.0042727500000000005,22,0.004702393,22278,0.0054030250000000005,59685
'Array','Reference', 4,'Delete',1000,168923,0.012102806,3,0.01158223,0,0.012576685,0
'Array','Reference', 0,'Query',10000,1112323,0.039891996000000006,530,0.047146752,165870,0.06340981200000001,767607
'Array','Reference', 0,'Delete',10000,1112323,0.17995597200000002,22,0.17675157600000002,2,0.15919813500000002,2
'Array','Reference', 1,'Query',10000,1076039,0.039824125,530,0.046604077,165870,0.062939091,767607
'Array','Reference', 1,'Delete',10000,1076039,0.17360049800000002,22,0.171790139,2,0.149997041,2
'Array','Reference', 2,'Query',10000,1072470,0.039941867000000006,530,0.095549637,165870,0.06335632000000001,767607
'Array','Reference', 2,'Delete',10000,1072470,0.14077493200000002,22,0.157428911,2,0.135378613,2
'Array','Reference', 3,'Query',10000,1048578,0.039888372000000005,530,0.046943322,165870,0.075290665,767607
'Array','Reference', 3,'Delete',10000,1048578,0.176703237,22,0.154409248,2,0.145471692,2
'Array','Reference', 4,'Query',10000,1053034,0.040318678000000004,530,0.047035637000000005,165870,0.068117071,767607
'Array','Reference', 4,'Delete',10000,1053034,0.163856408,22,0.15309377000000002,2,0.13928800700000002,2
'Array','Reference', 0,'Query',100000,9810268,0.44827729600000005,23764,0.530406233,2507517,0.8648792850000001,14508171
'Array','Reference', 0,'Delete',100000,9810268,1.23195421,112,1.311629551,2,1.306401002,2
'Array','Reference', 1,'Query',100000,8069527,0.6142020960000001,23764,0.531663644,2507517,0.8610355350000001,14508171
'Array','Reference', 1,'Delete',100000,8069527,1.312496047,112,1.320973476,2,1.332285387,2
'Array','Reference', 2,'Query',100000,9491985,0.729569686,23764,0.526744223,2507517,0.869830211,14508171
'Array','Reference', 2,'Delete',100000,9491985,1.236146541,112,1.3653559350000002,2,1.299758095,2
'Array','Reference', 3,'Query',100000,10627883,0.782723595,23764,0.531637029,2507517,0.8781005350000001,14508171
'Array','Reference', 3,'Delete',100000,10627883,1.229669244,112,1.873157605,2,1.308532486,2
'Array','Reference', 4,'Query',100000,8373470,0.447775923,23764,0.527719876,2507517,0.8715410650000001,14508171
'Array','Reference', 4,'Delete',100000,8373470,1.238070776,112,1.373409302,2,1.297547142,2
'Array','Reference', 0,'Query',1000000,82623029,7.431801339000001,212576,7.839355189000001,13013419,11.613509339,120373308
'Array','Reference', 0,'Delete',1000000,82623029,7.289604083,1000,14.639410107000002,13,15.958883131,21
'Array','Reference', 1,'Query',1000000,81550371,8.822802337,212576,8.275825439,13013419,11.235043575,120373308
'Array','Reference', 1,'Delete',1000000,81550371,7.799535402,1000,15.609083143000001,13,14.999026968,21
'Array','Reference', 2,'Query',1000000,81736317,7.523291283000001,212576,7.8100954410000005,13013419,11.530962623,120373308
'Array','Reference', 2,'Delete',1000000,81736317,7.259992835,1000,15.128730544000002,13,14.985622922000001,21
'Array','Reference', 3,'Query',1000000,81830752,7.910070265000001,212576,8.23646631,13013419,11.185447864,120373308
'Array','Reference', 3,'Delete',1000000,81830752,7.285453093,1000,15.141965735000001,13,14.997285431000002,21
'Array','Reference', 4,'Query',1000000,81414197,7.495223609000001,212576,8.483658472,13013419,12.351927832000001,120373308
'Array','Reference', 4,'Delete',1000000,81414197,7.811136835,1000,14.86664816,13,15.124500472000001,21
'BF-Trie4','Reference', 0,'Query',100,1938197,0.006784887000000001,3,0.023016756000000003,1918,0.026992724000000003,6036
'BF-Trie4','Reference', 0,'Delete',100,1938197,0.001148161,1,3.1025700000000003E-4,0,3.17313E-4,0
'BF-Trie4','Reference', 1,'Query',100,439170,0.0015032930000000002,3,0.017296833,1918,0.027061867000000003,6036
'BF-Trie4','Reference', 1,'Delete',100,439170,3.4743800000000004E-4,1,2.2813000000000003E-4,0,2.3692500000000003E-4,0
'BF-Trie4','Reference', 2,'Query',100,246059,0.001379821,3,0.017980390000000002,1918,0.027213763000000002,6036
'BF-Trie4','Reference', 2,'Delete',100,246059,1.93589E-4,1,1.8606500000000002E-4,0,1.8844600000000002E-4,0
'BF-Trie4','Reference', 3,'Query',100,234495,0.0013125440000000001,3,0.017810736,1918,0.019671690000000002,6036
'BF-Trie4','Reference', 3,'Delete',100,234495,2.0485000000000002E-4,1,1.9073E-4,0,1.7446400000000002E-4,0
'BF-Trie4','Reference', 4,'Query',100,237327,0.001254062,3,0.018134467,1918,0.011259112,6036
'BF-Trie4','Reference', 4,'Delete',100,237327,1.8671100000000002E-4,1,1.7671400000000002E-4,0,1.92592E-4,0
'BF-Trie4','Reference', 0,'Query',1000,924773,0.001934137,22,0.055657495,22278,0.056598237,59685
'BF-Trie4','Reference', 0,'Delete',1000,924773,4.0770700000000005E-4,3,4.12949E-4,0,3.8200900000000005E-4,0
'BF-Trie4','Reference', 1,'Query',1000,837910,0.001778388,22,0.053173058,22278,0.07605695700000001,59685
'BF-Trie4','Reference', 1,'Delete',1000,837910,3.4907000000000004E-4,3,3.67474E-4,0,2.96762E-4,0
'BF-Trie4','Reference', 2,'Query',1000,825231,0.001706169,22,0.036730337,22278,0.056326255000000006,59685
'BF-Trie4','Reference', 2,'Delete',1000,825231,4.0516500000000003E-4,3,2.99065E-4,0,2.8054800000000004E-4,0
'BF-Trie4','Reference', 3,'Query',1000,869971,0.001673788,22,0.037239640000000004,22278,0.056517477,59685
'BF-Trie4','Reference', 3,'Delete',1000,869971,2.9464300000000003E-4,3,2.8021400000000004E-4,0,2.54103E-4,0
'BF-Trie4','Reference', 4,'Query',1000,855010,0.0017149090000000001,22,0.037192017,22278,0.056809594000000005,59685
'BF-Trie4','Reference', 4,'Delete',1000,855010,3.0482100000000004E-4,3,2.57172E-4,0,2.41971E-4,0
'BF-Trie4','Reference', 0,'Query',10000,6833946,0.016999568,530,0.44971324500000004,165870,1.005596756,767607
'BF-Trie4','Reference', 0,'Delete',10000,6833946,3.8792300000000003E-4,22,3.51293E-4,2,3.33302E-4,2
'BF-Trie4','Reference', 1,'Query',10000,7024521,0.015577120000000002,530,0.440371024,165870,0.8039757790000001,767607
'BF-Trie4','Reference', 1,'Delete',10000,7024521,3.35013E-4,22,2.6888700000000004E-4,2,2.60552E-4,2
'BF-Trie4','Reference', 2,'Query',10000,7008499,0.015599852,530,0.414129048,165870,0.8112618420000001,767607
'BF-Trie4','Reference', 2,'Delete',10000,7008499,3.25425E-4,22,2.7452600000000003E-4,2,2.52475E-4,2
'BF-Trie4','Reference', 3,'Query',10000,6880749,0.015416964000000002,530,0.40985731200000003,165870,0.734215656,767607
'BF-Trie4','Reference', 3,'Delete',10000,6880749,3.36657E-4,22,2.5491800000000003E-4,2,2.74503E-4,2
'BF-Trie4','Reference', 4,'Query',10000,6911705,0.015848265,530,0.536369907,165870,0.695163661,767607
'BF-Trie4','Reference', 4,'Delete',10000,6911705,3.60788E-4,22,2.58956E-4,2,2.61517E-4,2
'BF-Trie4','Reference', 0,'Query',100000,111531436,0.06595840900000001,23764,3.517651383,2507517,8.329344729,14508171
'BF-Trie4','Reference', 0,'Delete',100000,111531436,0.003640308,112,2.6090900000000003E-4,2,1.7812400000000002E-4,2
'BF-Trie4','Reference', 1,'Query',100000,65719569,0.065050759,23764,3.3296010910000002,2507517,8.369301041,14508171
'BF-Trie4','Reference', 1,'Delete',100000,65719569,5.72811E-4,112,2.8997800000000003E-4,2,1.78233E-4,2
'BF-Trie4','Reference', 2,'Query',100000,59771526,0.06540773500000001,23764,3.2394558140000003,2507517,9.687847584,14508171
'BF-Trie4','Reference', 2,'Delete',100000,59771526,6.60306E-4,112,2.6315100000000004E-4,2,1.96006E-4,2
'BF-Trie4','Reference', 3,'Query',100000,59628701,0.067033073,23764,3.2315505850000004,2507517,8.298437850000001,14508171
'BF-Trie4','Reference', 3,'Delete',100000,59628701,3.96867E-4,112,1.8258800000000002E-4,2,1.93956E-4,2
'BF-Trie4','Reference', 4,'Query',100000,57246181,0.066734838,23764,3.659869055,2507517,8.705203681,14508171
'BF-Trie4','Reference', 4,'Delete',100000,57246181,3.0385000000000004E-4,112,8.795100000000001E-5,2,1.8273E-4,2
'BF-Trie4','Reference', 0,'Query',1000000,3632020429,0.698021436,212576,24.028599703,13013419,87.412527209,120373308
'BF-Trie4','Reference', 0,'Delete',1000000,3632020429,0.0021094020000000002,1000,2.0257E-4,13,1.1418200000000001E-4,21
'BF-Trie4','Reference', 1,'Query',1000000,2613632904,0.59376969,212576,22.937122087000002,13013419,86.637954199,120373308
'BF-Trie4','Reference', 1,'Delete',1000000,2613632904,0.005656586000000001,1000,1.93789E-4,13,1.1641200000000001E-4,21
'BF-Trie4','Reference', 2,'Query',1000000,2467633917,0.5155651370000001,212576,22.256038143,13013419,86.461511007,120373308
'BF-Trie4','Reference', 2,'Delete',1000000,2467633917,0.002187136,1000,1.89521E-4,13,1.08447E-4,21
'BF-Trie4','Reference', 3,'Query',1000000,2393004869,0.49611313900000004,212576,22.954385567000003,13013419,89.159035,120373308
'BF-Trie4','Reference', 3,'Delete',1000000,2393004869,0.002197375,1000,2.01623E-4,13,1.1834000000000001E-4,21
'BF-Trie4','Reference', 4,'Query',1000000,2986743579,0.39372801300000004,212576,23.057181007,13013419,86.550075022,120373308
'BF-Trie4','Reference', 4,'Delete',1000000,2986743579,0.007034936,1000,6.20973E-4,13,1.1690600000000001E-4,21
'BF-Trie8','Reference', 0,'Query',100,128671,0.006896009000000001,3,0.01754332,1918,0.048968883000000005,6036
'BF-Trie8','Reference', 0,'Delete',100,128671,0.001179395,1,4.0323400000000004E-4,0,0.0024585220000000003,0
'BF-Trie8','Reference', 1,'Query',100,99177,0.0027118650000000004,3,0.011436656,1918,0.010321632,6036
'BF-Trie8','Reference', 1,'Delete',100,99177,2.81004E-4,1,2.92858E-4,0,3.15189E-4,0
'BF-Trie8','Reference', 2,'Query',100,782823,5.02412E-4,3,0.007443450000000001,1918,0.010440348,6036
'BF-Trie8','Reference', 2,'Delete',100,782823,3.48826E-4,1,2.0045500000000002E-4,0,2.1193600000000003E-4,0
'BF-Trie8','Reference', 3,'Query',100,89166,4.2329000000000005E-4,3,0.007362690000000001,1918,0.009685208,6036
'BF-Trie8','Reference', 3,'Delete',100,89166,0.002270095,1,1.9913E-4,0,2.01842E-4,0
'BF-Trie8','Reference', 4,'Query',100,92638,0.002478548,3,0.0074257920000000005,1918,0.010232442000000001,6036
'BF-Trie8','Reference', 4,'Delete',100,92638,2.47169E-4,1,1.98351E-4,0,1.95837E-4,0
'BF-Trie8','Reference', 0,'Query',1000,3077527,0.003745552,22,0.054738913,22278,0.085380907,59685
'BF-Trie8','Reference', 0,'Delete',1000,3077527,3.00564E-4,3,2.3613300000000002E-4,0,1.98368E-4,0
'BF-Trie8','Reference', 1,'Query',1000,1033714,0.0036210210000000003,22,0.073597308,22278,0.08300117,59685
'BF-Trie8','Reference', 1,'Delete',1000,1033714,0.00237405,3,3.02443E-4,0,7.9418E-5,0
'BF-Trie8','Reference', 2,'Query',1000,3153300,0.0035846080000000004,22,0.108709123,22278,0.08213735500000001,59685
'BF-Trie8','Reference', 2,'Delete',1000,3153300,1.8417500000000002E-4,3,1.79939E-4,0,7.65E-5,0
'BF-Trie8','Reference', 3,'Query',1000,1758749,0.0016019250000000001,22,0.063124396,22278,0.08479115200000001,59685
'BF-Trie8','Reference', 3,'Delete',1000,1758749,0.0022923,3,1.49109E-4,0,7.3856E-5,0
'BF-Trie8','Reference', 4,'Query',1000,926061,0.001482784,22,0.052396234,22278,0.082998414,59685
'BF-Trie8','Reference', 4,'Delete',1000,926061,1.6142400000000002E-4,3,2.4383800000000002E-4,0,1.6624900000000001E-4,0
'BF-Trie8','Reference', 0,'Query',10000,7964563,0.035129253,530,0.541824547,165870,0.792778622,767607
